Priemer,Maximum
20.83,24
21.3,24
22.64,25
22.94,25
22.72,25
22.65,25
22.48,25
22.64,25
22.51,25
22.42,25
23.04,25
22.94,25
22.0,25
22.6,25
22.72,25
22.75,25
22.8,25
22.63,25
22.33,25
22.07,25
23.45,25
22.4,25
22.54,25
22.12,25
22.92,25
22.69,25
22.93,25
22.67,25
23.06,25
22.17,25
22.46,25
22.26,25
22.44,25
22.19,25
22.94,25
23.3,25
22.52,25
22.17,25
22.07,25
22.82,25
22.19,25
22.61,25
22.84,25
21.94,25
22.86,25
22.11,25
22.72,25
23.09,25
22.56,25
22.1,25
22.13,25
22.97,25
22.96,25
22.46,25
22.64,25
22.39,25
22.23,25
22.31,25
22.42,25
22.25,25
22.3,25
22.8,25
22.96,25
22.09,25
23.0,25
22.37,25
22.53,25
22.37,25
22.4,25
22.79,25
22.56,25
22.74,25
22.85,25
22.51,25
22.35,25
22.26,25
22.99,25
22.77,25
22.61,25
22.24,25
22.97,25
23.24,25
22.99,25
22.54,25
22.24,25
22.66,25
22.43,25
22.49,25
22.52,25
22.54,25
22.53,25
22.73,25
22.63,25
22.26,25
22.49,25
22.51,25
22.75,25
23.01,25
22.81,25
22.45,25
22.71,25
